"Interval start","All Packets"
0,24
1,6
2,0
3,0
4,28
5,16
6,4
7,2
8,10
9,2
10,12
11,18
12,2
13,0
14,0
15,0
16,3
17,0
18,0
19,0
20,0
21,3
22,0
23,0
24,0
25,8
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,4
41,4
42,0
43,4
44,0
45,0
46,0
47,0
48,4
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,25
57,4
58,0
59,0
60,0
61,3
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,17
74,12
75,0
76,0
77,38
78,6
79,4
80,10
81,0
82,12
83,18
84,2
85,4
86,0
87,0
88,0
89,2
90,1
91,0
92,0
93,3
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,3
102,0
103,0
104,0
105,0
106,0
107,4
108,1
109,4
110,4
111,0
112,4
113,0
114,0
115,0
116,0
117,4
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,4
126,0
127,0
128,0
129,0
130,0
131,4
132,4
133,0
134,4
135,0
136,0
137,0
138,4
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,4
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,4
157,4
158,0
159,4
160,0
161,4
162,4
163,4
164,4
165,0
166,0
167,0
168,4
169,0
170,0
171,4
172,0
173,0
174,0
175,0
176,4
177,0
178,0
179,0
180,0
181,4
182,4
183,0
184,4
185,0
186,0
187,0
188,4
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,4
197,0
198,0
199,0
200,0
201,4
202,4
203,0
204,4
205,0
206,6
207,8
208,6
209,6
210,2
211,0
212,0
213,6
214,2
215,0
216,0
217,4
218,0
219,0
220,0
221,4
222,4
223,0
224,0
225,0
226,0
227,0
228,4
229,4
230,2
231,12
232,6
233,2
234,6
235,4
236,0
237,0
238,8
239,0
240,0
241,0
242,0
243,4
244,0
245,0
246,8
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,4
257,4
258,0
259,7
260,3
261,2
262,2
263,6
264,0
265,0
266,2
267,2
268,0
269,0
270,0
271,4
272,0
273,0
274,0
275,4
276,0
277,0
278,0
279,0
280,0
281,4
282,4
