"Interval start","TCP Errors"
0,1
1,1
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,2
22,0
23,2
24,0
25,0
26,0
27,1
28,1
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,2
37,0
38,0
39,0
40,0
41,0
42,0
43,4
44,0
45,3
46,0
47,0
48,0
49,3
50,0
51,0
52,2
53,0
54,0
55,0
56,4
57,2
58,4
59,0
60,0
61,0
62,4
63,1
64,2
65,2
66,0
67,2
68,2
69,0
70,0
71,5
72,0
73,2
74,1
75,0
76,4
77,0
78,2
79,0
80,2
81,0
82,2
83,0
84,2
85,0
86,0
87,3
88,0
89,0
90,6
91,0
92,5
93,0
94,4
95,0
96,5
97,3
98,0
99,0
100,3
101,0
102,0
103,0
104,0
105,9
106,2
107,7
108,2
109,1
110,0
111,4
112,0
113,0
114,0
115,4
116,4
117,3
118,3
119,6
120,0
121,6
122,6
123,2
124,4
125,3
126,2
127,2
128,0
129,2
130,7
131,1
132,0
133,0
134,0
135,6
136,0
137,0
138,0
139,2
140,6
141,0
142,3
143,0
144,0
145,0
146,8
147,1
148,0
149,0
150,0
151,4
152,0
153,2
154,3
155,5
156,0
157,2
158,3
159,0
160,0
161,0
162,0
163,0
164,0
165,6
166,0
167,3
168,4
169,0
170,0
171,3
172,3
173,0
174,0
175,0
176,0
177,0
178,3
179,0
180,3
181,5
182,0
183,0
184,0
185,2
186,0
187,0
188,0
189,2
190,6
191,0
192,4
193,0
194,0
195,0
196,3
197,4
198,0
199,0
200,0
201,0
202,3
203,4
204,2
205,5
206,0
207,0
208,0
209,3
210,0
211,0
212,0
213,2
214,0
215,6
216,0
217,7
218,0
219,0
220,0
221,8
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,7
231,0
232,0
233,3
234,0
235,0
236,0
237,0
238,0
239,0
240,4
241,0
242,3
243,0
244,0
245,0
246,4
247,3
248,0
249,0
250,0
251,0
252,0
253,0
254,4
255,3
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,2
266,0
267,5
268,0
269,0
270,0
271,4
272,1
273,0
274,0
275,0
276,0
277,0
278,0
279,4
280,2
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,4
291,0
292,3
293,0
294,0
295,0
296,5
297,0
298,0
299,0
300,0
301,0
302,0
303,3
304,0
305,3
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,3
322,0
323,0
324,0
325,0
326,0
327,0
328,1
329,0
330,1
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,3
