"Interval start","Throughput"
0,6333
1,8620
2,4518
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,80
18,0
19,0
20,80
21,400
22,0
23,200
24,0
25,0
26,0
27,100
28,100
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,200
37,0
38,0
39,0
40,0
41,0
42,0
43,400
44,0
45,200
46,0
47,0
48,0
49,200
50,0
51,0
52,200
53,0
54,0
55,0
56,400
57,100
58,300
59,0
60,0
61,0
62,500
63,100
64,200
65,400
66,0
67,200
68,200
69,0
70,0
71,400
72,0
73,100
74,100
75,200
76,400
77,0
78,200
79,0
80,200
81,0
82,200
83,0
84,200
85,0
86,0
87,200
88,0
89,0
90,600
91,0
92,400
93,0
94,400
95,0
96,400
97,200
98,0
99,0
100,200
101,0
102,0
103,0
104,0
105,600
106,200
107,400
108,100
109,100
110,0
111,200
112,0
113,0
114,0
115,400
116,400
117,200
118,200
119,300
120,0
121,700
122,400
123,200
124,500
125,300
126,200
127,200
128,0
129,200
130,500
131,100
132,0
133,0
134,0
135,400
136,0
137,0
138,0
139,200
140,600
141,0
142,200
143,0
144,0
145,0
146,500
147,100
148,0
149,0
150,0
151,600
152,0
153,200
154,200
155,400
156,0
157,200
158,200
159,0
160,0
161,0
162,0
163,0
164,0
165,600
166,0
167,200
168,200
169,0
170,0
171,200
172,200
173,0
174,0
175,0
176,0
177,0
178,200
179,0
180,200
181,400
182,0
183,0
184,0
185,200
186,0
187,0
188,0
189,200
190,400
191,0
192,200
193,0
194,0
195,0
196,200
197,200
198,0
199,0
200,0
201,0
202,200
203,400
204,100
205,300
206,0
207,0
208,0
209,200
210,0
211,0
212,0
213,200
214,0
215,400
216,0
217,400
218,0
219,0
220,0
221,400
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,400
231,0
232,0
233,200
234,0
235,0
236,0
237,0
238,0
239,0
240,400
241,0
242,200
243,0
244,0
245,0
246,200
247,200
248,0
249,0
250,0
251,0
252,0
253,0
254,200
255,200
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,400
266,0
267,400
268,0
269,0
270,0
271,300
272,100
273,0
274,0
275,0
276,0
277,0
278,0
279,200
280,200
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,400
291,0
292,200
293,0
294,0
295,0
296,400
297,0
298,0
299,0
300,0
301,0
302,0
303,200
304,0
305,200
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,200
322,0
323,0
324,0
325,0
326,0
327,0
328,100
329,0
330,100
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,200
